"","msci_us_value","snp_us_value","msci_us_quality","snp_us_quality","msci_us_volatility","snp_us_volatility","msci_us_momentum","snp_us_momentum"
"2016/07/31",0.029742,0.02717,0.047589,0.030438,0.014781,0.003348,0.026867,0.037385
"2016/08/31",0.006037,0.005861,0.000715,-0.003018,-0.019508,-0.018828,-0.0145,-0.002162
"2016/09/30",-0.001306,-0.003712,0.005118,-0.008867,-0.006525,-0.00973,0.004955,-0.000392
"2016/10/31",-0.014453,-0.015147,-0.020611,-0.015625,-0.028063,-0.022461,-0.019599,-0.020168
"2016/11/30",0.048908,0.062977,0.02519,0.037341,0.006379,0.005353,-0.005829,-0.006798
"2016/12/31",0.028216,0.02542,0.014574,0.019222,0.023888,0.025688,0.010865,0.03235
"2017/01/31",0.00489,0.006634,0.017675,0.01552,0.013221,0.007398,0.033148,0.019437
"2017/02/28",0.036935,0.03853,0.047736,0.037129,0.045535,0.04495,0.037231,0.036339
"2017/03/31",-0.006968,-0.011949,0.007138,0.002184,0.001188,-0.000508,0.021514,0.001615
"2017/04/30",-0.001123,-0.000676,0.017784,0.010158,0.014482,0.010873,0.025352,0.008748
